Vlammenzee mage dps
Papajoshua mage dps
Stolliee mage dps
Yoekie mage dps
Soep mage dps
Limetaps mage dps
Tiaram mage dps
Blinksome mage dps
Óò mage dps
Kwebbel mage dps
Anouska warlock dps
Raddam warlock dps
Toven warlock dps
Nabbe warlock dps
Totaleclips warlock dps
Borof hunter dps
Zhador hunter dps
Slapslap hunter dps
Bloblub hunter dps
Jac hunter dps
Zutfill hunter dps
Keppie hunter dps
Lothlorien hunter dps
Mentis warrior dps
Fatoru warrior dps
Nightrider warrior dps
Linc warrior dps
Megalomaniac warrior dps
Miwi rogue dps
Djoeker rogue dps
Dok rogue dps
Sper rogue dps
Bledhil rogue dps
Estl rogue dps
Santiago rogue dps
Dezwalker druid dps
Viana priest dps
Wisear paladin healer
Hikaru paladin healer
Dorkinz paladin healer
Jurk priest healer
November priest healer
Khaydarin priest healer
Onu priest healer
Libera priest healer
Marckus priest healer
Damarckus priest healer
Hammersmark druid healer
Avelena druid healer
Drazharm druid healer
Mertin warrior tank
Gorwynn warrior tank
Tankié warrior tank
Mega warrior tank
Nektor druid tank
Monnik paladin tank
